roof_id,goaf_id,roof_number,has_suspended_roof,suspended_area,collapse_status,remarks
HX001-ROOF001,"HX001-G001,HX001-G002,HX001-G003,HX001-G004,HX001-G005,HX001-G006",3-1悬顶1,是,￥298￥,悬顶,井田北部4-2、4-3和5-2煤层未开采区上覆3-1煤层房柱式采空区-煤矿工业广场的锅炉房、洗煤场、机修车间、材料库等建筑设施位于该悬顶区内
HX001-ROOF002,"HX001-G001,HX001-G002,HX001-G003,HX001-G004,HX001-G005,HX001-G006",3-1悬顶2,是,￥282￥,悬顶,井田北部4-2、4-3和5-2煤层未开采区上覆3-1煤层房柱式采空区
HX001-ROOF003,"HX001-G001,HX001-G002,HX001-G003,HX001-G004,HX001-G005,HX001-G006",3-1悬顶3,是,￥255￥,悬顶,井田北部4-2、4-3和5-2煤层未开采区上覆3-1煤层房柱式采空区
HX001-ROOF004,"HX001-G013,HX001-G014,HX001-G015,HX001-G016",4-2悬顶1,是,￥182￥,悬顶,4-2煤层条带式采空区下伏4-3和5-2煤层均未回采-存在悬顶区
HX001-ROOF005,"HX001-G013,HX001-G014,HX001-G015,HX001-G016",4-2悬顶2,是,￥173￥,悬顶,4-2煤层条带式采空区下伏4-3和5-2煤层均未回采-存在悬顶区
HX001-ROOF006,HX001-G012,4-2悬顶3,是,￥164￥,悬顶,4-2煤层￥22￥房柱式采空区下伏4-3和5-2煤层均未回采-存在悬顶区
HX001-ROOF007,HX001-G012,4-2悬顶4,是,￥156￥,悬顶,4-2煤层￥22￥房柱式采空区下伏4-3和5-2煤层均未回采-存在悬顶区
HX001-ROOF008,HX001-G007,无悬顶,否,,已垮落,4-2、4-3和5-2综采采空区上覆的3-1煤房柱式采空区随着综采采空区的回采而垮塌
HX001-ROOF009,HX001-G008,无悬顶,否,,已垮落,4-2、4-3和5-2综采采空区上覆的3-1煤房柱式采空区随着综采采空区的回采而垮塌
HX001-ROOF010,HX001-G009,无悬顶,否,,已垮落,4-2、4-3和5-2综采采空区上覆的3-1煤房柱式采空区随着综采采空区的回采而垮塌
HX001-ROOF011,HX001-G010,无悬顶,否,,已垮落,4-2、4-3和5-2综采采空区上覆的3-1煤房柱式采空区随着综采采空区的回采而垮塌
HX001-ROOF012,HX001-G011,无悬顶,否,,已垮落,4-2煤房柱式随着综采采空区的回采而垮塌
HX001-ROOF013,HX001-G017,无悬顶,否,,已垮落,4-3煤全部采用综采工艺-全部垮落法管理顶板
HX001-ROOF014,HX001-G018,无悬顶,否,,已垮落,4-3煤全部采用综采工艺-全部垮落法管理顶板
HX001-ROOF015,HX001-G019,无悬顶,否,,已垮落,4-3煤全部采用综采工艺-全部垮落法管理顶板
HX001-ROOF016,HX001-G020,无悬顶,否,,已垮落,4-3煤全部采用综采工艺-全部垮落法管理顶板
HX001-ROOF017,HX001-G021,无悬顶,否,,已垮落,4-3煤全部采用综采工艺-全部垮落法管理顶板
HX001-ROOF018,HX001-G022,无悬顶,否,,已垮落,5-2煤房柱式采空区和4-2煤层￥22￥房柱式采空区上覆的3-1煤层采空区已注浆治理-不存在悬顶区
HX001-ROOF019,HX001-G023,无悬顶,否,,已垮落,5-2煤房柱式采空区和4-2煤层￥22￥房柱式采空区上覆的3-1煤层采空区已注浆治理-不存在悬顶区
HX001-ROOF020,HX001-G024,无悬顶,否,,已垮落,5-2煤综采工艺-全部垮落法管理顶板-顶板厚层砂岩约￥19￥m厚-不易垮落-容易造成大面积悬顶
HX001-ROOF021,HX001-G025,无悬顶,否,,已垮落,5-2煤综采工艺-全部垮落法管理顶板
HX001-ROOF022,HX001-G026,无悬顶,否,,已垮落,5-2煤综采工艺-全部垮落法管理顶板-正在回采

